﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025020120,   1011.6,   1015.2,     17.5,     16.0,       91,      1.6,    110.0,      8.5,    100.0,      2.0,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020121,   1011.4,   1015.0,     17.2,     15.4,       89,      3.4,    100.0,     10.0,     80.0,      0.5,      0.4,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020122,   1012.3,   1015.9,     16.9,     14.9,       88,      2.4,    100.0,     10.0,     80.0,     -9.8,      0.2,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020123,   1012.2,   1015.8,     16.5,     15.4,       93,      1.5,    130.0,      5.5,     90.0,      1.0,      0.8,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020124,   1012.3,   1015.9,     16.4,     14.8,       90,      1.4,    120.0,      5.6,    120.0,      0.5,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020201,   1012.1,   1015.7,     16.2,     14.6,       90,      2.0,    110.0,      5.2,     80.0,      0.5,      0.3,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020202,   1011.9,   1015.5,     16.4,     14.8,       90,      2.2,    100.0,      5.2,    110.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020203,   1011.7,   1015.3,     16.2,     15.1,       93,      1.6,    160.0,      4.2,    120.0,      0.5,      0.6,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020204,   1011.4,   1015.0,     16.1,     15.3,       95,      1.2,    140.0,      3.5,    140.0,      1.0,      0.9,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020205,   1011.4,   1015.0,     16.2,     15.2,       94,      1.1,    120.0,      2.9,     90.0,      0.5,      0.2,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020206,   1011.9,   1015.5,     16.4,     15.1,       92,      1.1,     90.0,      4.0,     70.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020207,   1012.6,   1016.2,     16.4,     15.1,       92,      0.7,     80.0,      3.9,    100.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020208,   1012.9,   1016.5,     16.6,     15.0,       90,      1.3,    180.0,      3.1,    140.0,      0.0,      0.0,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
