﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025070218,   1004.9,   1008.3,     32.1,     22.8,       58,      4.8,    110.0,     11.1,    100.0,      0.0,      0.0,      0.8,     0.61,     None,     0.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070219,   1005.2,   1008.6,     31.3,     23.2,       62,      3.2,    130.0,     11.7,    130.0,      0.0,      0.0,      0.3,     0.10,     None,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070220,   1005.4,   1008.8,     30.8,     24.0,       67,      3.1,    110.0,      9.0,    130.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070221,   1005.7,   1009.1,     30.6,     23.8,       67,      3.2,    100.0,      9.0,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070222,   1005.9,   1009.3,     30.3,     23.8,       68,      3.3,    100.0,      9.3,    120.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070223,   1005.6,   1009.0,     30.2,     23.9,       69,      2.4,    110.0,      8.1,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070224,   1005.4,   1008.8,     30.1,     24.0,       70,      3.4,    100.0,      9.7,     70.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070301,   1005.2,   1008.6,     29.9,     23.9,       70,      3.2,    110.0,      9.4,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070302,   1004.9,   1008.3,     29.7,     23.7,       70,      2.9,    110.0,      8.4,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070303,   1004.7,   1008.1,     29.2,     23.9,       73,      3.1,    100.0,      8.8,    100.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070304,   1004.8,   1008.2,     29.2,     23.9,       73,      3.3,    100.0,      8.4,     70.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070305,   1004.5,   1007.9,     29.1,     23.3,       71,      3.2,    100.0,      8.3,     90.0,      0.0,      0.0,     None,     0.00,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
